date,year,month,ps,pn,us,un,emps,empn
2000-01-01,2000,1,101.031209336996,100.0,5.0,5.4,14344.4,14132.8
2000-02-01,2000,2,102.043406371597,100.61896,5.0,5.3,14390.4,14270.0
2000-03-01,2000,3,103.22469937712499,102.1278,5.0,5.3,14429.1,14421.3
2000-04-01,2000,4,104.159399030972,103.7041,5.0,4.7,14484.6,14450.8
2000-05-01,2000,5,104.92469788975201,104.98908,5.0,4.7,14549.9,14590.2
2000-06-01,2000,6,105.69340717681601,106.35687,5.0,5.0,14590.4,14696.8
2000-07-01,2000,7,106.324687358066,107.23331,5.0,5.2,14625.7,14547.6
2000-08-01,2000,8,106.96663271480601,108.18488,4.9,5.0,14659.1,14619.4
2000-09-01,2000,9,107.88678713659901,108.9445,4.8,4.6,14708.8,14742.5
2000-10-01,2000,10,108.808656782069,109.55771000000001,4.8,4.5,14708.2,14748.5
2000-11-01,2000,11,109.98391871682301,110.11861,4.8,4.7,14750.6,14861.1
2000-12-01,2000,12,110.716005225383,110.12042,4.8,4.4,14796.8,14962.4
2001-01-01,2001,1,112.03147634686701,110.8808,4.8,5.3,14832.3,14619.9
2001-02-01,2001,2,112.902899221807,111.31561,4.8,5.1,14824.9,14708.2
2001-03-01,2001,3,114.178497053259,112.97801000000001,4.9,5.3,14832.0,14826.3
2001-04-01,2001,4,114.63679628460899,114.12191999999999,5.0,4.9,14798.5,14765.9
2001-05-01,2001,5,115.257389344561,115.31478999999999,5.1,4.6,14772.8,14815.0
2001-06-01,2001,6,115.734611610294,116.46524,5.2,5.3,14761.5,14871.1
2001-07-01,2001,7,116.375632781316,117.3574,5.4,5.6,14697.5,14614.4
2001-08-01,2001,8,117.358519674826,118.67334,5.6,5.7,14696.7,14655.6
2001-09-01,2001,9,118.34008998721501,119.50896999999999,5.9,5.5,14659.7,14674.4
2001-10-01,2001,10,119.31565998281499,120.15862,6.1,5.9,14629.4,14672.2
2001-11-01,2001,11,120.303205961703,120.48478999999999,6.3,6.2,14584.5,14694.1
2001-12-01,2001,12,121.28961996895201,120.64875,6.5,6.2,14566.1,14725.8
2002-01-01,2002,1,122.706506922581,121.45291,6.6,7.1,14569.9,14367.4
2002-02-01,2002,2,123.989520849904,122.25645,6.7,6.9,14571.1,14460.9
2002-03-01,2002,3,125.456073959137,124.11952,6.7,7.0,14602.1,14595.4
2002-04-01,2002,4,126.85190219565399,126.23433999999999,6.7,6.7,14618.7,14587.8
2002-05-01,2002,5,128.691985985966,128.73119,6.8,6.3,14630.7,14672.8
2002-06-01,2002,6,130.772305995991,131.58745,6.8,6.9,14630.1,14725.6
2002-07-01,2002,7,132.858717862378,133.96556,6.8,7.0,14583.9,14498.3
2002-08-01,2002,8,135.085220169673,136.59175,6.7,6.8,14593.7,14550.8
2002-09-01,2002,9,137.236733491264,138.62004,6.8,6.4,14604.1,14613.5
2002-10-01,2002,10,139.72310237981,140.76478,6.8,6.5,14605.7,14654.7
2002-11-01,2002,11,141.824380560502,142.07137,6.8,6.8,14612.1,14725.8
2002-12-01,2002,12,143.98205702808997,143.25814,6.9,6.8,14603.0,14756.9
2003-01-01,2003,1,145.75240074611798,144.27185,6.9,7.4,14588.2,14397.8
2003-02-01,2003,2,147.308755723163,145.29663,6.9,7.2,14575.0,14464.3
2003-03-01,2003,3,148.881738828009,147.23021,6.9,7.2,14558.6,14548.9
2003-04-01,2003,4,150.485563473485,149.64871000000002,7.0,6.8,14585.1,14554.3
2003-05-01,2003,5,152.288288673541,152.26745,7.0,6.5,14577.1,14619.6
2003-06-01,2003,6,154.062883344298,154.9822,7.0,7.3,14587.0,14679.5
2003-07-01,2003,7,157.016142081295,158.3402,7.0,7.2,14557.3,14471.1
2003-08-01,2003,8,160.104673922492,161.88628,7.0,6.9,14564.6,14519.1
2003-09-01,2003,9,163.588263212541,165.2921,6.9,6.6,14569.7,14578.9
2003-10-01,2003,10,167.056451920258,168.40113,6.8,6.6,14594.8,14647.1
2003-11-01,2003,11,170.75704097463898,171.11312,6.7,6.7,14583.6,14686.9
2003-12-01,2003,12,174.784575177277,173.98178000000001,6.6,6.3,14589.0,14741.4
2004-01-01,2004,1,178.77374998901698,177.00621,6.6,7.0,14624.7,14437.0
2004-02-01,2004,2,182.914946439379,180.48967,6.5,6.8,14642.8,14535.4
2004-03-01,2004,3,188.786670212074,186.55191000000002,6.5,7.0,14665.2,14649.5
2004-04-01,2004,4,194.500280866428,193.21553,6.4,6.2,14683.2,14670.9
2004-05-01,2004,5,199.737762273018,199.5839,6.4,5.9,14712.4,14755.1
2004-06-01,2004,6,205.27866897375,206.38488,6.3,6.4,14729.0,14817.9
